Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
HD153276,HD153276,6000,4.48,0.04,single,False,0.17782794100389226
HD15337,HD15337,5179,4.39,0.06,LMPH,True,0.022387211385683375
HD153851,HD153851,5052,4.5,-0.25,single,False,0.03548133892335753
HD153950,HD153950,6074,4.39,-0.01,HMPH,True,2.8183829312644493
HD154088,HD154088,5374,4.37,0.28,LMPH,True,12.589254117941662
HD154195A,HD154195A,5961,4.48,-0.19,single,False,2.8183829312644493
HD154363,HD154363,4723,4.41,-0.62,single,False,0.012589254117941687
HD154387,HD154387,4719,4.5,-0.25,single,False,0.028183829312644664
HD154577,HD154577,4900,4.52,-0.7,single,False,0.028183829312644664
HD154962,HD154962,5827,4.17,0.32,single,False,5.011872336272715
HD155717,HD155717,4949,4.48,-0.13,single,False,19.952623149688826
HD155968,HD155968,5790,4.42,0.16,single,False,2.5118864315095926
HD156079,HD156079,5892,4.24,0.28,single,False,0.022387211385683375
HD156098,HD156098,6517,4.2,0.18,HMPH,True,1.4125375446227613
HD15612,HD15612,5256,4.49,-0.11,single,False,10.0
HD156411,HD156411,5910,3.99,-0.11,HMPH,True,0.006309573444801942
HD156423,HD156423,5184,4.46,-0.43,single,False,19.952623149688826
HD156517,HD156517,5013,4.45,0.03,single,False,0.03162277660168379
HD156991,HD156991,5934,4.57,-0.07,single,False,0.07943282347242822
HD157172,HD157172,5451,4.39,0.11,single,False,10.0
HD157338,HD157338,6027,4.44,-0.08,single,False,1.7782794100389228
HD157347,HD157347,5676,4.38,0.02,single,False,8.91250938133744
HD157668,HD157668,5195,4.49,-0.23,single,False,0.028183829312644664
HD157830,HD157830,5540,4.49,-0.25,single,False,10.0
HD1581,HD1581,5977,4.51,-0.18,single,False,1.584893192461111
HD15906,HD15906,4884,4.49,-0.01,LMPH,True,19.952623149688826
HD159868,HD159868,5558,3.96,-0.08,HMPH,True,8.91250938133744
HD16008,HD16008,5712,4.42,-0.09,single,False,6.309573444801943
HD160089,HD160089,6312,4.78,0.11,single,False,0.07079457843841373
HD160691,HD160691,5780,4.27,0.3,HMPH,True,6.309573444801943
HD160836,HD160836,4791,4.49,-0.16,single,False,0.03548133892335753
HD161098,HD161098,5560,4.46,-0.27,single,False,11.220184543019654
HD161256,HD161256,5652,4.27,0.14,single,False,7.943282347242854
HD16141,HD16141,5806,4.19,0.16,HMPH,True,6.309573444801943
HD161555,HD161555,5850,4.15,0.12,single,False,0.014125375446227554
HD161566,HD161566,6230,4.2,-0.28,single,False,6.309573444801943
HD161612,HD161612,5616,4.45,0.16,single,False,3.5481338923357604
HD162020,HD162020,4861,4.48,-0.1,HMPH,True,0.03162277660168379
HD162236,HD162236,5343,4.43,-0.12,single,False,12.589254117941662
HD162396,HD162396,6090,4.27,-0.35,single,False,7.079457843841373
HD16270,HD16270,4786,4.39,0.06,single,False,0.01995262314968879
HD16280,HD16280,4754,4.39,-0.19,single,False,0.017782794100389226
HD16297,HD16297,5422,4.47,-0.01,single,False,8.91250938133744
HD163102,HD163102,6433,4.64,0.0,single,False,0.0630957344480193
HD163436,HD163436,5030,4.43,-0.07,single,False,0.025118864315095822
HD16382,HD16382,5953,4.5,0.03,single,False,0.1
HD16417,HD16417,5841,4.16,0.13,LMPH,True,5.011872336272715
HD165131,HD165131,5870,4.45,0.06,HMPH,True,2.8183829312644493
HD16536,HD16536,5282,4.39,-0.08,single,False,17.78279410038923
HD16548,HD16548,5690,3.96,0.15,single,False,6.309573444801943
HD165920,HD165920,5339,4.39,0.29,single,False,12.589254117941662
HD166724,HD166724,5127,4.43,-0.09,HMPH,True,19.952623149688826
HD166745,HD166745,5621,4.31,0.25,single,False,7.943282347242854
HD16714,HD16714,5518,4.42,-0.2,single,False,0.022387211385683375
HD167300,HD167300,5837,4.3,-0.45,single,False,0.014125375446227554
HD167359,HD167359,5348,4.46,-0.19,single,False,14.125375446227611
HD167677,HD167677,5474,4.43,-0.29,HMPH,True,15.848931924611108
HD16784,HD16784,5837,4.34,-0.65,single,False,14.125375446227611
HD168159,HD168159,4783,4.42,-0.15,single,False,0.01995262314968879
HD168746,HD168746,5568,4.33,-0.1,HMPH,True,12.589254117941662
HD168769,HD168769,5361,4.45,-0.01,single,False,11.220184543019654
HD168863,HD168863,4905,4.4,0.16,HMPH,True,0.01995262314968879
HD168870,HD168870,5325,4.43,-0.32,single,False,19.952623149688826
HD168871,HD168871,5983,4.42,-0.09,single,False,2.8183829312644493
HD16905,HD16905,4867,4.35,0.15,HMPH,True,0.017782794100389226
HD169830,HD169830,6361,4.21,0.18,HMPH,True,1.9952623149688828
HD170493,HD170493,4751,4.24,0.14,single,False,0.007079457843841388
HD17051,HD17051,6227,4.53,0.19,single,False,0.0630957344480193
HD170958,HD170958,5599,4.83,-0.04,single,False,0.04466835921509635
HD171028,HD171028,5671,3.84,-0.48,HMPH,True,0.001995262314968883
HD171587,HD171587,5412,4.59,-0.64,single,False,5.623413251903491
HD171665,HD171665,5655,4.41,-0.05,single,False,7.943282347242854
