age,feh,gaia_id
8.73,-0.24,4131542111059148800
11.17,-0.26,4127493365655230208
3.23,0.01,4131630724824069376
11.33,-0.29,4130582752809959296
9.68,-0.06,6731116043867478016
5.27,0.27,4130875218599345920
5.67,0.22,4130878693233180288
6.14,-0.4,4130581992592530816
7.58,0.23,6731276430820254720
8.75,-0.41,1158093572944169600
2.69,-0.07,4127160660311700736
12.07,-0.04,6731225922006330112
5.26,0.17,4126050497174690560
7.27,0.03,4044217484534141824
9.22,-0.45,4131555648796156672
7.18,0.29,4130805575708384640
5.15,0.17,4044218309167887744
4.69,0.32,4127161824236867072
11.51,-0.77,4130577942446550272
10.79,0.01,1248801083212437760
11.21,0.14,6731233313649878144
2.66,0.12,4127422550232437120
4.76,-1.39,4130529598292707840
6.48,-0.18,4130862780372755200
2.76,0.14,4131649206065869184
4.19,0.05,4126063966192244480
4.52,-0.07,4126393269924074496
8.43,0.23,4045874487333003392
6.88,0.13,4130804613635701888
6.99,-0.45,4418980460878643584
7.57,-0.37,4126113959613715584
7.95,0.03,6731227025818027520
10.58,-0.05,6731474759533844608
10.41,-0.37,4418974959025251456
5.92,0.03,4131630621744848896
9.92,-0.23,4130879724025422208
11.76,-0.25,6734806829545548800
5.8,-0.44,4127161794183141760
10.67,-0.02,4419735516129497344
8.81,-0.63,4131636424243196416
8.02,-0.41,1158310318469600128
7.04,-0.54,4346633626568732288
3.7,-0.05,4343541559354641792
9.01,-0.36,4126406910740279552
4.46,0.09,4126410209275198592
8.48,-0.2,4127214330226262528
8.35,0.31,4126068291211066624
7.63,0.25,4127424096420659328
8.08,-0.46,4126116463556878080
10.93,-0.21,4127213539952252160
5.01,0.26,4044142825178879360
10.02,-0.35,4130879036830561664
7.44,-0.47,4418980323439715840
8.81,0.26,4056491199759318400
11.94,-0.82,6731475133188446848
9.39,0.0,4126393373003289728
5.54,-0.04,4114067912057971456
7.38,-0.5,4418891091199190784
7.76,0.1,4131636565979614592
6.56,0.11,4127437290560239744
7.14,0.29,4126131380001193984
10.19,-0.27,4130789117396774528
4.69,-0.46,4343455213331890560
11.23,-0.07,6731230427431733888
9.95,-0.02,4130806331622624000
11.7,-0.15,6731234099624061952
11.5,-0.55,4114125297168571264
6.03,0.32,4126045648143490944
2.85,0.08,4044211682126045568
7.5,0.06,6731476610657196416
6.91,0.14,4126067466577346816
9.69,-0.67,4131648626247789184
7.26,-0.51,4343539051093731712
8.63,0.04,4130876528569651072
6.88,0.14,4130793201902567808
11.35,-0.22,4130588108625958784
11.05,-0.38,6731274437956902784
8.85,0.17,4126325130252374656
10.32,-0.27,4130789186113295104
7.84,0.21,4130859898456318976
2.95,0.12,4130584917473462016
3.28,-0.24,4126394713033073664
2.17,-0.13,4127232609610345856
8.02,-0.13,6734808410093232768
9.41,-0.38,6731288903405277696
11.8,-0.25,4045860292344000896
6.13,-0.58,4126051493607154176
10.84,-0.14,4126047507877167616
7.47,-1.01,4126052627478723200
5.91,-0.5,4126395808234165504
9.01,-0.52,4131632717688893440
3.01,-0.09,4110986187123341696
2.38,-0.44,4130794477512870400
2.65,-0.1,4114138933640075776
9.99,-0.35,4130806503421309056
2.47,0.2,4114037336213342208
8.36,-0.64,4131637390613330816
11.3,-0.54,4127233670449792384
6.74,0.14,1176112987975849216
10.1,-0.32,4127512847626991232
3.3,0.23,4044224120359157120
10.31,-0.33,4127165333237350912
8.12,0.15,6731480939984229376
10.34,-0.31,4130882163566768768
7.1,-0.67,4127425573889424384
11.01,-0.07,6731476889837676672
7.65,0.37,4343543689658461568
11.04,-0.85,4131637145796354304
10.87,-0.2,4130585432869417984
9.34,-0.1,4130800589246315392
6.36,-0.61,4130812344576868864
8.14,-0.29,4130811004547058048
10.22,-0.18,4127511812531124224
7.37,-0.56,4343262558276847232
10.14,-0.09,4110797620881048960
11.4,-0.44,4130533098684822272
8.28,0.25,1176057363854774144
9.45,-0.5,6731477199075347840
10.11,-0.64,1247775311879029248
4.86,0.09,4110797689599856128
11.8,-0.15,6734750135975217408
10.58,0.17,6731232111058974848
10.24,0.08,6731236882762882944
10.93,-0.28,4130799425315352448
7.43,-0.46,4127168730546419072
9.52,-0.35,4130860482571872640
10.36,0.12,4044212949051670400
8.58,-0.16,4126049122784910336
8.9,-0.28,4126327024346168192
10.35,-0.39,4130817154940232448
9.07,0.08,6731279832434349440
4.28,-0.17,4130799665833527680
8.96,-0.14,4131633576682570880
11.36,-0.8,4127186254012979840
9.28,0.02,4130878006038482048
5.18,-0.68,4343264173184568832
10.48,-0.02,4126118976135932544
9.07,0.18,4418699363859144832
5.55,-0.24,4343246306120541056
2.16,-0.17,4346552468866279424
9.29,-0.03,4131639005521264128
7.11,0.4,4045613417625420672
11.3,-0.62,6731236406026368000
4.96,0.27,4127236011222274176
9.6,-0.7,1176326808627357952
2.64,-0.17,4110871666116731392
4.0,-1.54,4130606426669623040
6.27,-0.19,4130813302349508608
1.91,-0.09,4126328536174654976
6.8,0.0,4130796607816795648
8.59,0.13,4115534905410624384
8.95,-0.73,4419756402554648064
11.29,-0.29,4130871065371318272
6.4,-0.67,4130865361654857600
8.57,-0.02,4343192670569062272
2.1,-0.06,4110799996091448832
6.83,0.17,4044227315812739456
11.2,-0.56,4126122446469311360
9.65,-0.46,4418704449100397184
6.39,0.26,4045618090552712320
10.07,0.03,4130884087712177024
10.19,0.12,4127445639977562368
3.34,-0.01,4126122790066706432
5.81,-0.06,4045568646886337792
